Age,Nationality,Marital Status,Education Level,Studied in Australia,Occupation,Years of Experience,Australian Work Experience,IELTS Score,PTE Score,Visa Type,Financial Proof (AUD),Employer Sponsorship
38,USA,Single,Bachelor,No,Electrician,3,No,6.5,79,190,67772,No
33,China,Single,Bachelor,No,Chef,12,Yes,6.0,72,482,153754,No
30,China,Married,PhD,No,Electrician,1,No,6.0,79,491,53712,No
35,India,Single,Bachelor,No,Chef,4,Yes,6.5,72,189,182439,Yes
32,Germany,Married,PhD,Yes,Electrician,10,Yes,7.0,58,482,287565,No
38,India,Married,Bachelor,No,Electrician,5,Yes,8.0,65,190,288389,Yes
41,UK,Married,Bachelor,No,Electrician,17,Yes,8.0,72,491,165142,No
43,USA,Single,Master,No,Chef,9,Yes,6.0,50,190,141736,No
42,India,Single,Master,No,Chef,3,No,6.0,50,189,101924,No
45,China,Married,PhD,No,Electrician,8,Yes,7.0,72,491,53726,Yes
45,USA,Married,Master,No,Accountant,5,Yes,7.5,72,189,139152,No
45,USA,Single,PhD,Yes,Nurse,1,No,6.5,72,189,77723,No
30,China,Married,Master,No,Nurse,16,Yes,6.0,50,482,176969,No
26,India,Married,Bachelor,No,Nurse,4,Yes,8.0,50,190,284182,Yes
46,China,Married,PhD,No,Chef,5,Yes,7.0,72,491,150494,No
32,Germany,Single,PhD,Yes,Chef,11,Yes,6.5,79,189,190180,No
30,USA,Single,Bachelor,No,Accountant,9,Yes,7.0,79,189,258786,No
18,Canada,Single,PhD,No,Nurse,5,Yes,6.5,58,491,85643,No
42,Canada,Married,PhD,No,Nurse,7,Yes,6.5,65,189,212396,No
24,UK,Married,Master,No,Electrician,1,No,6.0,79,482,153896,No
26,China,Married,PhD,Yes,Chef,11,Yes,7.0,50,482,264432,No
41,China,Single,Bachelor,No,Nurse,12,Yes,7.0,79,482,291968,No
18,UK,Married,Master,No,Accountant,6,Yes,8.0,58,482,189999,No
29,UK,Married,Master,Yes,Accountant,9,Yes,8.0,58,189,143680,No
25,UK,Married,Bachelor,No,Nurse,12,Yes,6.0,65,491,146546,No
41,USA,Married,Bachelor,No,Chef,16,Yes,6.0,79,491,203515,No
48,Germany,Single,Master,No,Accountant,13,Yes,7.5,50,491,129973,No
28,China,Single,PhD,Yes,Electrician,1,No,8.0,50,491,113449,Yes
36,USA,Married,Master,No,Accountant,10,Yes,6.5,72,190,159834,No
34,UK,Single,Bachelor,Yes,Software Engineer,0,No,7.0,50,491,286386,No
25,China,Single,Master,No,Software Engineer,18,Yes,6.0,65,190,257815,No
20,USA,Married,Bachelor,Yes,Chef,3,No,7.0,65,190,241305,No
20,Germany,Married,Master,No,Nurse,18,Yes,7.0,50,482,75537,No
18,USA,Single,PhD,No,Chef,10,Yes,7.5,50,190,282365,No
44,Germany,Married,Master,No,Chef,7,Yes,8.0,72,189,127576,No
22,UK,Single,Master,No,Chef,10,Yes,6.0,50,190,157522,Yes
27,Germany,Married,Bachelor,Yes,Chef,3,No,7.0,72,482,72612,No
24,China,Single,Bachelor,No,Electrician,16,Yes,6.0,72,190,275049,Yes
43,UK,Married,Bachelor,No,Electrician,6,Yes,6.5,50,189,56471,No
26,China,Single,Master,No,Accountant,7,Yes,7.5,58,189,216703,No
45,Canada,Single,PhD,Yes,Software Engineer,2,No,6.5,58,189,290069,No
24,India,Single,Bachelor,Yes,Chef,1,No,6.0,72,482,273131,No
26,Germany,Married,Bachelor,Yes,Accountant,14,Yes,6.0,50,482,81348,No
25,India,Single,Master,No,Software Engineer,4,Yes,8.0,58,491,245804,Yes
29,India,Single,Bachelor,No,Nurse,0,No,7.0,50,482,51177,No
19,Germany,Married,PhD,No,Electrician,3,No,7.0,50,189,185832,No
18,UK,Married,PhD,Yes,Software Engineer,14,Yes,6.5,50,189,82779,No
33,Canada,Single,Bachelor,No,Nurse,19,Yes,7.5,79,482,71636,No
40,China,Single,Bachelor,No,Software Engineer,18,Yes,7.0,50,190,131889,No
40,USA,Married,Master,No,Electrician,2,No,8.0,79,482,103551,Yes
47,China,Married,PhD,Yes,Electrician,19,Yes,6.5,72,482,192628,No
41,USA,Married,PhD,No,Accountant,10,Yes,6.5,58,189,208670,No
22,China,Married,Bachelor,Yes,Chef,16,Yes,8.0,58,491,192635,Yes
20,Germany,Married,Master,No,Software Engineer,12,Yes,7.5,58,189,96819,No
29,Canada,Single,PhD,No,Software Engineer,10,Yes,8.0,58,491,290398,Yes
25,USA,Married,PhD,Yes,Nurse,1,No,7.5,58,189,123770,Yes
39,UK,Single,Master,No,Electrician,8,Yes,8.0,58,482,272127,Yes
44,China,Single,Master,Yes,Software Engineer,1,No,8.0,58,189,208038,No
20,China,Single,PhD,No,Electrician,8,Yes,6.0,72,189,262781,No
18,USA,Married,PhD,No,Software Engineer,8,Yes,6.5,50,189,240961,No
20,UK,Single,Master,No,Accountant,7,Yes,8.0,65,482,208059,No
22,UK,Single,PhD,No,Chef,16,Yes,8.0,79,482,128714,No
32,Germany,Married,Bachelor,No,Software Engineer,0,No,7.0,65,482,285946,No
31,Germany,Single,Bachelor,No,Electrician,10,Yes,6.5,65,482,239420,No
20,Germany,Single,Master,No,Accountant,7,Yes,7.0,50,491,74596,Yes
18,Germany,Married,Master,No,Software Engineer,9,Yes,6.5,50,491,214246,No
22,Germany,Single,Master,No,Nurse,6,Yes,7.0,50,190,114106,No
43,Germany,Single,Bachelor,No,Chef,2,No,8.0,58,482,288582,No
40,Canada,Single,PhD,No,Software Engineer,2,No,8.0,72,491,251039,No
48,UK,Married,Bachelor,No,Accountant,17,Yes,6.0,58,189,109182,Yes
31,Germany,Married,PhD,No,Nurse,4,Yes,7.0,72,482,274372,Yes
24,UK,Married,Bachelor,No,Accountant,11,Yes,7.5,72,190,137163,No
44,UK,Single,PhD,Yes,Accountant,11,Yes,6.0,65,190,89310,No
26,India,Single,Bachelor,No,Nurse,18,Yes,7.0,65,190,106088,Yes
32,Canada,Married,Master,No,Accountant,5,Yes,7.0,72,189,178803,No
32,Germany,Single,Bachelor,No,Nurse,1,No,6.0,72,491,189978,Yes
43,China,Single,PhD,Yes,Software Engineer,11,Yes,8.0,58,189,86914,No
27,USA,Married,Bachelor,Yes,Nurse,18,Yes,7.0,58,482,160350,No
45,China,Married,Bachelor,No,Nurse,4,Yes,8.0,65,190,95379,No
30,Canada,Single,Bachelor,No,Chef,11,Yes,6.0,50,189,259684,Yes
36,USA,Single,Master,No,Nurse,16,Yes,8.0,72,189,295900,Yes
